#   r_nom       meanr       meanlogr       xip          xim         xip_pm       xim_im     sigma_xip      npairs       weight    npairs_weighted
  1.8556e+00   1.8558e+00   6.1828e-01   2.3206e-05  -6.6295e-06  -6.9195e-22   9.1560e-05   1.4221e-04   1.6050e+06   3.5574e+08   1.8153e+06
  1.8956e+00   1.8958e+00   6.3963e-01  -2.4174e-05   7.9066e-05  -1.6533e-20   4.4376e-06   1.3946e-04   1.6713e+06   3.6992e+08   1.8888e+06
  1.9365e+00   1.9366e+00   6.6094e-01  -1.2028e-05   3.3411e-05   2.3924e-21  -1.4566e-06   1.3654e-04   1.7415e+06   3.8588e+08   1.9693e+06
  1.9782e+00   1.9784e+00   6.8226e-01   2.2557e-05   8.5068e-05   1.7858e-20   6.2757e-05   1.3399e-04   1.8086e+06   4.0068e+08   2.0449e+06
  2.0208e+00   2.0210e+00   7.0358e-01   6.3543e-05  -1.8701e-05  -1.0447e-20   5.1810e-05   1.3125e-04   1.8856e+06   4.1765e+08   2.1322e+06
  2.0644e+00   2.0646e+00   7.2490e-01  -5.1647e-05  -9.8584e-05   1.8597e-20   3.6020e-05   1.2861e-04   1.9628e+06   4.3490e+08   2.2194e+06
  2.1089e+00   2.1091e+00   7.4623e-01   1.1775e-04  -8.7180e-05  -2.2582e-20  -3.6367e-05   1.2606e-04   2.0446e+06   4.5273e+08   2.3115e+06
  2.1543e+00   2.1545e+00   7.6756e-01   4.0251e-05  -2.1232e-05   1.7959e-20  -8.5425e-05   1.2365e-04   2.1254e+06   4.7050e+08   2.4024e+06
  2.2008e+00   2.2009e+00   7.8888e-01   2.7167e-05  -8.5065e-05   2.1937e-20   9.6335e-05   1.2124e-04   2.2109e+06   4.8945e+08   2.4986e+06
  2.2482e+00   2.2484e+00   8.1021e-01  -5.3296e-05  -2.0633e-05   1.4540e-20   6.8721e-05   1.1892e-04   2.3001e+06   5.0870e+08   2.5980e+06
  2.2967e+00   2.2968e+00   8.3151e-01  -3.8247e-05  -8.0466e-05  -3.3571e-20   6.9486e-05   1.1644e-04   2.3965e+06   5.3065e+08   2.7092e+06
  2.3462e+00   2.3464e+00   8.5285e-01   1.0845e-04  -9.6025e-05   3.9005e-20   8.6702e-05   1.1418e-04   2.4949e+06   5.5185e+08   2.8187e+06
  2.3967e+00   2.3969e+00   8.7417e-01   5.8302e-05  -5.4026e-05   1.8878e-20   5.2266e-05   1.1199e-04   2.5931e+06   5.7359e+08   2.9289e+06
  2.4484e+00   2.4486e+00   8.9550e-01  -4.2307e-05  -5.6352e-05  -5.6690e-20   2.1378e-06   1.0971e-04   2.7011e+06   5.9769e+08   3.0522e+06
  2.5011e+00   2.5013e+00   9.1681e-01   4.3177e-05  -1.4665e-05  -4.4956e-20   8.5804e-05   1.0758e-04   2.8111e+06   6.2157e+08   3.1747e+06
  2.5550e+00   2.5553e+00   9.3815e-01   2.7560e-05   1.5968e-05   9.9548e-20  -4.6402e-05   1.0540e-04   2.9278e+06   6.4753e+08   3.3067e+06
  2.6101e+00   2.6103e+00   9.5946e-01   2.6478e-04   1.1254e-04  -4.3162e-20  -8.1367e-05   1.0340e-04   3.0443e+06   6.7279e+08   3.4378e+06
  2.6664e+00   2.6666e+00   9.8079e-01  -3.2823e-05   3.0700e-05  -9.6002e-21   1.0911e-04   1.0138e-04   3.1655e+06   6.9997e+08   3.5760e+06
  2.7238e+00   2.7241e+00   1.0021e+00   6.9991e-05   4.4889e-05  -5.7548e-21  -3.8296e-05   9.9247e-05   3.3046e+06   7.3038e+08   3.7315e+06
  2.7825e+00   2.7828e+00   1.0234e+00   1.1570e-05   8.9787e-05   5.6098e-20   8.7270e-05   9.7322e-05   3.4360e+06   7.5957e+08   3.8799e+06
  2.8425e+00   2.8427e+00   1.0448e+00   4.7682e-05   1.8157e-04   2.8223e-20   4.7642e-05   9.5421e-05   3.5750e+06   7.9013e+08   4.0369e+06
  2.9038e+00   2.9040e+00   1.0661e+00   1.1567e-04  -5.2892e-05  -2.3777e-20  -1.7981e-05   9.3570e-05   3.7221e+06   8.2170e+08   4.2007e+06
  2.9663e+00   2.9666e+00   1.0874e+00   1.3769e-04   8.3217e-05  -2.9874e-20   1.0905e-05   9.1688e-05   3.8747e+06   8.5575e+08   4.3733e+06
  3.0303e+00   3.0305e+00   1.1087e+00   9.3654e-05  -6.5430e-05  -5.3220e-21  -6.8410e-05   8.9886e-05   4.0313e+06   8.9041e+08   4.5505e+06
  3.0956e+00   3.0959e+00   1.1300e+00   7.1049e-05  -9.6581e-05  -7.8979e-20   1.7575e-06   8.8196e-05   4.1887e+06   9.2490e+08   4.7269e+06
  3.1623e+00   3.1626e+00   1.1514e+00   3.4329e-05   8.4003e-06  -5.3010e-20   1.3035e-06   8.6352e-05   4.3682e+06   9.6481e+08   4.9311e+06
  3.2305e+00   3.2307e+00   1.1727e+00   9.7712e-05   3.6299e-05  -5.1724e-21  -3.8312e-05   8.4697e-05   4.5433e+06   1.0029e+09   5.1269e+06
  3.3001e+00   3.3004e+00   1.1940e+00   1.7910e-05  -3.0145e-05  -3.3365e-21   1.2546e-05   8.3037e-05   4.7301e+06   1.0434e+09   5.3351e+06
  3.3712e+00   3.3715e+00   1.2153e+00   1.2631e-05  -1.6501e-04   9.5255e-21   1.2689e-04   8.1465e-05   4.9122e+06   1.0840e+09   5.5426e+06
  3.4439e+00   3.4441e+00   1.2367e+00   3.5314e-05   2.4173e-06  -6.1954e-21   7.1303e-05   7.9749e-05   5.1260e+06   1.1312e+09   5.7832e+06
  3.5181e+00   3.5184e+00   1.2580e+00   8.8600e-05  -2.7299e-05  -6.6762e-20   5.1750e-05   7.8161e-05   5.3358e+06   1.1776e+09   6.0208e+06
  3.5939e+00   3.5942e+00   1.2793e+00  -2.6424e-05  -1.7958e-05  -8.9584e-20   2.7773e-05   7.6595e-05   5.5566e+06   1.2263e+09   6.2690e+06
  3.6714e+00   3.6717e+00   1.3006e+00   1.0991e-04   1.4402e-05  -1.6498e-20  -7.2143e-05   7.5127e-05   5.7799e+06   1.2748e+09   6.5186e+06
  3.7505e+00   3.7508e+00   1.3220e+00   1.7538e-04  -7.1744e-05  -4.1712e-20   1.6144e-05   7.3720e-05   6.0032e+06   1.3238e+09   6.7702e+06
  3.8313e+00   3.8317e+00   1.3433e+00  -9.7729e-07   3.2025e-06  -4.8968e-20  -2.4757e-05   7.2205e-05   6.2561e+06   1.3799e+09   7.0568e+06
  3.9139e+00   3.9143e+00   1.3646e+00  -4.6777e-05  -1.1601e-05   1.9940e-20  -1.2131e-05   7.0761e-05   6.5139e+06   1.4368e+09   7.3470e+06
  3.9982e+00   3.9986e+00   1.3859e+00   3.6258e-05  -6.2884e-05   4.0020e-20   1.0240e-05   6.9372e-05   6.7810e+06   1.4950e+09   7.6462e+06
  4.0844e+00   4.0848e+00   1.4072e+00   7.3394e-06   3.3294e-05   1.0865e-19   7.9658e-05   6.7996e-05   7.0569e+06   1.5561e+09   7.9581e+06
  4.1724e+00   4.1728e+00   1.4286e+00   6.5834e-05   2.3685e-05  -1.0495e-21   4.3374e-05   6.6659e-05   7.3429e+06   1.6191e+09   8.2818e+06
  4.2624e+00   4.2627e+00   1.4499e+00  -3.9146e-06   6.1030e-05   4.1021e-20  -3.2114e-05   6.5350e-05   7.6416e+06   1.6847e+09   8.6184e+06
  4.3542e+00   4.3546e+00   1.4712e+00   9.6003e-05  -1.3360e-04   4.6842e-20  -6.2113e-06   6.4068e-05   7.9524e+06   1.7527e+09   8.9661e+06
  4.4481e+00   4.4485e+00   1.4925e+00  -3.2761e-05  -3.6501e-05   7.5409e-21  -8.7096e-05   6.2776e-05   8.2819e+06   1.8256e+09   9.3388e+06
  4.5439e+00   4.5443e+00   1.5139e+00  -1.0051e-05  -4.8986e-06   1.4066e-20  -1.7805e-05   6.1600e-05   8.6038e+06   1.8960e+09   9.7011e+06
  4.6419e+00   4.6422e+00   1.5352e+00   1.0257e-04  -2.4712e-05   8.1147e-20  -1.0260e-04   6.0360e-05   8.9574e+06   1.9748e+09   1.0101e+07
  4.7419e+00   4.7423e+00   1.5565e+00   8.2857e-05  -4.2838e-05  -2.5208e-21  -1.1188e-04   5.9151e-05   9.3280e+06   2.0563e+09   1.0518e+07
  4.8441e+00   4.8446e+00   1.5778e+00  -6.3634e-05   2.4533e-05  -3.8303e-20   4.2352e-05   5.7996e-05   9.7123e+06   2.1390e+09   1.0947e+07
  4.9485e+00   4.9490e+00   1.5992e+00  -4.1363e-05   4.7452e-05   3.3987e-20  -4.5848e-06   5.6836e-05   1.0111e+07   2.2272e+09   1.1395e+07
  5.0552e+00   5.0556e+00   1.6205e+00   1.5610e-05   2.1145e-05   1.1863e-19   1.3933e-05   5.5732e-05   1.0514e+07   2.3163e+09   1.1851e+07
  5.1641e+00   5.1646e+00   1.6418e+00  -7.6281e-07  -3.5727e-05  -1.9154e-21  -9.9818e-06   5.4661e-05   1.0934e+07   2.4081e+09   1.2322e+07
  5.2754e+00   5.2759e+00   1.6631e+00   1.1459e-05   1.2512e-05  -3.1389e-20   2.9863e-05   5.3562e-05   1.1385e+07   2.5078e+09   1.2832e+07
  5.3891e+00   5.3896e+00   1.6844e+00  -7.9443e-06   5.8454e-06   1.9896e-20  -4.6064e-05   5.2482e-05   1.1863e+07   2.6122e+09   1.3368e+07
  5.5052e+00   5.5058e+00   1.7058e+00   2.1947e-05  -3.2338e-05   8.1824e-20  -3.0550e-05   5.1465e-05   1.2335e+07   2.7163e+09   1.3900e+07
  5.6239e+00   5.6244e+00   1.7271e+00   4.3107e-05  -1.3126e-06   4.6389e-20  -2.4269e-05   5.0422e-05   1.2851e+07   2.8300e+09   1.4482e+07
  5.7451e+00   5.7457e+00   1.7484e+00  -1.2346e-05  -3.3773e-05  -1.8049e-20  -2.4435e-05   4.9436e-05   1.3373e+07   2.9440e+09   1.5068e+07
  5.8689e+00   5.8694e+00   1.7697e+00   6.9024e-05   9.3012e-05  -1.3744e-20  -4.5249e-05   4.8459e-05   1.3921e+07   3.0637e+09   1.5682e+07
  5.9954e+00   5.9959e+00   1.7911e+00  -1.1018e-05   4.4028e-05   1.0158e-20   3.4588e-05   4.7491e-05   1.4490e+07   3.1899e+09   1.6326e+07
  6.1246e+00   6.1252e+00   1.8124e+00   2.6193e-06   6.8330e-05   3.1289e-20   1.7244e-06   4.6556e-05   1.5078e+07   3.3193e+09   1.6989e+07
  6.2566e+00   6.2572e+00   1.8337e+00   4.9745e-05  -2.7263e-05   3.8226e-20  -7.3192e-06   4.5643e-05   1.5689e+07   3.4536e+09   1.7677e+07
  6.3915e+00   6.3920e+00   1.8550e+00  -9.2154e-06   3.5315e-05  -6.4512e-20   9.0832e-06   4.4715e-05   1.6346e+07   3.5984e+09   1.8417e+07
  6.5292e+00   6.5298e+00   1.8764e+00   2.3549e-06  -2.7518e-05   1.8473e-20  -3.7511e-05   4.3837e-05   1.7016e+07   3.7441e+09   1.9167e+07
  6.6699e+00   6.6705e+00   1.8977e+00  -1.1093e-05   4.8594e-06  -4.2076e-21  -6.0144e-05   4.2969e-05   1.7705e+07   3.8967e+09   1.9947e+07
  6.8137e+00   6.8143e+00   1.9190e+00   3.2263e-05   1.6553e-05  -6.1610e-20  -7.5890e-06   4.2095e-05   1.8445e+07   4.0601e+09   2.0779e+07
