# R.A., Dec., mask
331.459 -33.250 0
331.459 -33.150 0
331.459 -33.050 0
331.459 -32.950 0
331.459 -32.850 0
331.459 -32.750 0
331.459 -32.650 0
331.459 -32.550 0
331.459 -32.450 0
331.459 -32.350 1
331.459 -32.250 1
331.459 -32.150 1
331.459 -32.050 1
331.459 -31.950 1
331.459 -31.850 1
331.459 -31.750 1
331.459 -31.650 1
331.459 -31.550 1
331.459 -31.450 1
331.459 -31.350 1
331.459 -31.250 1
331.459 -31.150 1
331.459 -31.050 1
331.459 -30.950 1
331.459 -30.850 1
331.459 -30.750 1
331.459 -30.650 1
331.459 -30.550 1
331.459 -30.450 1
331.459 -30.350 1
331.459 -30.250 1
331.459 -30.150 1
331.459 -30.050 1
331.459 -29.950 1
331.459 -29.850 1
331.459 -29.750 1
331.459 -29.650 1
331.459 -29.550 1
331.459 -29.450 1
331.459 -29.350 1
331.459 -29.250 1
